card_id,card_name,list_period,status,category,rationale,evidence,source,notes
59642500,Masked HERO Anki,2026-03,0,power,"Absolutely crazy card for Destiny HERO (see notes for full coverage)",stated,,"Makes D-HERO hugely better. Even though you only get 1 use out of your mask change without E-HERO cards, just getting that raw card advantage for purposes of deck thinning and pitching to Raigeki Break is crazy. Layer on top of that the huge statline, it being another way to trigger Drawhand to summon on your turn, disruption protection, a quite large statline, and sometimes that last bit of reach you need in a tight gamestate is absolutely gross. Also gatekeeps any other DARK HERO monsters we might want for purposes of bolstering E-HERO & Evil HERO and/or getting Vision HERO in the format"
92826944,Mezuki,2026-03,1,preemptive,"Introduced to the format as Limited for fear of Zombie strategies",stated,,
29947751,Morphtronic Magnen,2026-03,1,stall,"Limited to prevent Battle Phase locks enabled by multiple copies of itself alive at the same time",stated,,
2250266,Morphtronic Staplen,2026-03,1,stall,"Limited to prevent Battle Phase locks enabled by multiple copies of itself alive at the same time",stated,,
89792713,Nordic Relic Laevateinn,2026-03,0,power,"Proved too powerful and uninteractive as a generic removal",stated,,
37279508,Number 37: Hope Woven Dragon Spider Shark,2026-03,1,recursion,"Strong monster that is too repeatable in multiples; once 1 copy lands in the GY and 1 on the field, they can revive each other repeatedly unless both copies are dealt with in a single turn",stated,,
29208536,Number 45: Crumble Logos the Prophet of Demolition,2026-03,1,resource-denial,"Game-ending card that does not need to be repeatable",stated,,
82697249,Number 59: Crooked Cook,2026-03,0,power,"Degenerately combines with permanent ATK boosts, demanding too much removal per copy",stated,,
42280216,Oracle of the Sun,2026-03,1,preemptive,"Introduced to the format as Limited",stated,,
64765016,Paleozoic Marrella,2026-03,2,engine,"Slight consistency hit to Paleozoic advantage engine",stated,,
44509898,Pinpoint Guard,2026-03,0,power,"Generic card that dampened battle phases too effectively",stated,,
130000177,"Pisces, Purveyor of Death",2026-03,0,recursion,"Degenerate advantage loops",stated,,
45298492,Scarred Warrior,2026-03,1,stall,"Limited to prevent Battle Phase locks enabled by multiple copies of itself alive at the same time",stated,,
92373006,Test Tiger,2026-03,1,preemptive,"Introduced to the format as Limited for fear of Gladiator Beast strategies",stated,,
63821877,The Phantom Knights of Ragged Gloves,2026-03,1,preemptive,"Introduced to the format as Limited due to presence of strong generic Phantom Beasts Traps",stated,,
46652477,The Transmigration Prophecy,2026-03,1,diversity,"Too prevalent, and other options can be considered",stated,,
30604579,"Thor, Lord of the Aesir",2026-03,1,preemptive,"Introduced to the format as limited for fear of Nordic strategies",stated,,
10960419,Time Magic Hammer,2026-03,0,resource-denial,"Too degenerate removal, almost impossible to interact with",stated,,
12538374,Treeborn Frog,2026-03,0,recursion,"Too strong and recursive, especially in combination with other cards",stated,,
45383307,Triamid Cruiser,2026-03,2,preemptive,"Introduced to the format as Semi-Limited for Triamid strategies",stated,,
9989792,Triamid Fortress,2026-03,2,preemptive,"Introduced to the format as Semi-Limited for Triamid strategies",stated,,
81558967,Valkyrie Vierte,2026-03,1,consistency,"Too strong a starter for Valkyrie since it can access strong tools, such as Erda and Zweite",stated,,
90592429,Vylon Filament,2026-03,1,preemptive,"Introduced to the format as Limited for Vylon strategies",stated,,
11426487,White Steed of the Floral Knights,2026-03,1,preemptive,"Introduced to the format as Limited",stated,,
47766694,Wild Tornado,2026-03,0,synergy,"Synergized too absurdly with being removed in the same Chain as its activation, especially with Double Cyclone",stated,,
91420254,Yosenju Shinchu R,2026-03,1,stall,"Limited to prevent Battle Phase locks enabled by multiple copies of itself alive at the same time",stated,,
29590752,Gladiator Beast Octavius,2026-07,1,preemptive,"Introduced to the format as Limited for Gladiator Beasts",stated,,
8594079,Jurrac Brachis,2026-07,1,stall,"Limited to prevent Battle Phase locks enabled by multiple copies of itself alive at the same time",stated,,
59312550,Jurrac Velo,2026-07,1,recursion,"Limited to prevent recruiting copies of itself in sequence",stated,,
5758500,Soul Release,2026-07,0,resource-denial,"Too much of a blowout as it depletes GY resources for no cost",stated,,
61344030,Starliege Paladynamo,2026-07,1,power,"Game-ending card that does not need to be repeatable",stated,,
60990740,Absolute King Back Jack,2026-08,2,consistency,"Consistency hit for an easy-to-mill generic that grants easier access to Trap staples",stated,,
86120751,Aleister the Invoker,2026-08,0,power,"Aleister is a powerful standalone that grants access to a strong Fusion body (Invoked Magellanica) even in generic settings; it is also a good battle trick, and Invocation can act as GY disruption",stated,,
10406322,"Alsei, the Sylvan High Protector",2026-08,0,power,"Very strong generic for Rank-8 strategies, with excellent stats and strong removal with potential of advantage",stated,,
16889337,Aratama,2026-08,2,consistency,"Consistency hit for Spirits",stated,,
48964966,Athena,2026-08,0,synergy,"Powerful damage recursion and recovery tool for fairies",stated,,
80584548,Ballista Squad,2026-08,2,diversity,"Hit to generic removals to lower accessibility and promote deckbuilding diversity",stated,,
93850652,"Beat, Bladesman Fur Hire",2026-08,2,consistency,"Consistency hit for Fur Hire",stated,,
98239899,Blast with Chain,2026-08,0,power,"Strong generic stats buff bundled with exceptional removal",stated,,
6602300,"Blaze Fenix, the Burning Bombardment Bird",2026-08,0,power,"Strong boss with good stats and high burn potential",stated,,
66740005,"Bravo, Fighter Fur Hire",2026-08,1,synergy,"Very strong ATK buff for Fur Hire; combined with the swarming proficiency of the Deck, it leads to sudden, high-damage-output boards",stated,,
21501505,"Cairngorgon, Antiluminescent Knight",2026-08,1,power,"Extremely common Rank-4 tool with pseudo-negation potential; especially hostile against certain strategies due to being hard to remove",stated,,
130000224,Combatants Fur Hire,2026-08,0,power,"Extremely unbalanced tool for Fur Hire that provides free activation triggers and removal dodging for virtually no cost",stated,,
38495396,Constellar Ptolemy M7,2026-08,0,power,"Strong Rank-6 generic tool with exceptional removal",stated,,
50277355,Cross-Sheep,2026-08,0,power,"Extremely accessible generic Link with an excellent toolbox of effects, especially for Fusion strategies",stated,,
93169863,Crystal Girl,2026-08,2,consistency,"Consistency hit for WATER strategies",stated,,
31919988,Dark Diviner,2026-08,0,power,"Extremely resilient boss for Millsect, virtually unoutable by battle",stated,,
30822527,Decode Talker Extended,2026-08,1,power,"Common and accessible Link-climb boss monster, with high battle damage and removal potential",stated,,
24623598,Disappear,2026-08,2,diversity,"Very common GY disruption tool; hit to increase diversity",stated,,
75652080,Double Cyclone,2026-08,1,power,"Very strong S/T removal for virtually no cost in most situations and even faster than Dust Tornado",stated,,
3429238,Drill Warrior,2026-08,1,power,"Excellent Synchro with damage output, dodging and recovery capabilities. Menacing when repeatable.",stated,,
64655485,Elemental HERO Brave Neos,2026-08,1,synergy,"Strong and accessible beater for Neos Fusion strategies with searching capabilities on top of it all",stated,,
60743819,Fiend Griefing,2026-08,2,power,"GY disruption and free mill for Fiend strategies, or even for Decks who run powerful Fiend staples, such as Absolute King Back Jack",stated,,
64514892,Fire Fighting Daruma Doll,2026-08,1,power,"Very good and accessible Link-2 for the Beast-type Triad, with excellent backrow removal. Multiple copies limit the opponent's effectiveness on Set Traps",stated,,
44920699,Fire Formation - Tensen,2026-08,2,synergy,"Strong and easily accessible ATK buff for Fire Fist and other Beast-Warrior strategies in general as well",stated,,
46173679,Fires of Doomsday,2026-08,1,power,"Generic staple that immediately produces 2 free bodies; the restriction is easily bypassable by activating this card during the opponent's End Phase.",stated,,
10002346,Gachi Gachi Gantetsu,2026-08,1,power,"Very strong Rank-2 tool that grants a significant stats buff to the player's own monsters. Hard to remove and becomes unbearable at multiple copies.",stated,,
13108445,Gem-Knight Aquamarine,2026-08,1,synergy,"Good wall for Gem-Knights, with very good removal. Threatening if cycled",stated,,
41172955,Green Gadget,2026-08,1,engine,"Hit to the Gadget Trio to limit their recursive advantage generation as an engine",stated,,
65749035,"Gungnir, Dragon of the Ice Barrier",2026-08,1,power,"Exceptionally strong Synchro tool for WATER-based strategies; arguably the strongest removal option in Retro and is game-ending even at one copy",stated,,
64801562,Heart of Clear Water,2026-08,0,stall,"Grants an excessive level of protection to any generic monster for free; creates an effectively unbreakable stall with Barricadeborg Blocker",stated,,
86848580,Ice Beast Zerofyne,2026-08,1,power,"Very strong Rank-4 tool for Winged Beast strategies; strongest mass negation in Retro and becomes a huge body",stated,,
60238002,Interdimensional Matter Forwarder,2026-08,1,power,"Very resilient card that offers too much utility, such as resetting soft OPTs and removing all materials from Xyz monsters",stated,,
176392,Koa'ki Meiru Prototype,2026-08,3,preemptive,"Introduced to the format as Limited",stated,,
50599453,Leafplace Plaice,2026-08,1,recursion,"Recurring body that can reach very high ATK; difficult to completely remove it at multiple copies",stated,,
67955331,Lucky Loan,2026-08,1,preemptive,"Future-proofing for generic Spellcaster accessibility",stated,,
25341652,Maestroke the Symphony Djinn,2026-08,1,power,"Strong and resilient Rank-4 tool played in most Decks",stated,,
73104892,Maple Maiden,2026-08,1,power,"Attribute floodgate and decent removal that bypasses virtually all protections",stated,,
41386308,Mathematician,2026-08,2,consistency,"Commonly played staple that grants significant advantage via mill and draw",stated,,
88494899,Medium of the Ice Barrier,2026-08,0,lock,"Easy to access wall with oppressive one-sided S/T floodgate",stated,,
44887817,Miracle Fertilizer,2026-08,1,recursion,"Very strong and recursive recovery tool for Plant; synergizes greatly with cards like Vivid Tail and Xyz strategies",stated,,
31461282,Miracle Stone,2026-08,1,consistency,"Hit to limit Fortune Fairy's main advantage generation tool; guarantees at least 1 draw every turn unless the opponent forgoes their Battle Phase",stated,,
164710,Mischief of the Gnomes,2026-08,1,power,"Stumps Level-based strategies (mainly Synchro and Xyz) for virtually no cost",stated,,
33508719,Morphing Jar,2026-08,1,power,"Very strong recovery tool; also doubles as potent deck-out tool at multiple copies",stated,,
2295440,One for One,2026-08,1,power,"Grants almost free access to potent Level 1 staples to any Deck",stated,,
8809344,Outer Entity Nyarla,2026-08,1,synergy,"Good Rank-4 wall; synergizes very well with Shaddolls since it triggers their effects easily",stated,,
61420130,Paleozoic Hallucigenia,2026-08,2,power,"Strong, generic stats/debuff that can come back as a Level 2 body; very widespread alongside Marrella as an engine",stated,,
68299524,Pandemic Dragon,2026-08,2,power,"Very potent boss that offers strong debuff and removal each turn",stated,,
28150174,Photon Papilloperative,2026-08,1,power,"Common Rank-4 tool that can easily neutralize any wall and allow a player to aggressively push for damage",stated,,
17322533,Pinpoint Landing,2026-08,1,synergy,"Synergizes well with Fur Hire, generating significant advantage",stated,,
84298614,Powerful Rebirth,2026-08,1,power,"Generic staple; one of the strongest recovery tool; synergizes greatly with Vivid Tail",stated,,
4178474,Raigeki Break,2026-08,0,power,"Was essentially a must in every Deck; easy global removal for a low cost",stated,,
86445415,Red Gadget,2026-08,1,engine,"Hit to the Gadget Trio to limit their recursive advantage generation as an engine",stated,,
56120475,Sakuretsu Armor,2026-08,1,power,"Arguably the most widespread battle trick in the format; played in almost every deck",stated,,
3819470,Seven Tools of the Bandit,2026-08,0,power,"A sacky, unanswerable tool that can decide games by itself by negating critical Trap staples",stated,,
77723643,Shaddoll Dragon,2026-08,1,synergy,"Strong removal tool for monsters and S/T, with a good ATK as well; can be played as generic since it synergizes well with Mathematician, and is easily recursable in Shaddoll",stated,,
9553721,Shinobird Power Spot,2026-08,2,synergy,"Grants significant buffs and advantage to Spirit monsters, especially in builds that make use of Shinobirds",stated,,
68431965,Shooting Riser Dragon,2026-08,1,synergy,"Generic Synchro-climb tool that grants a free mill",stated,,
45985838,Solar Flare Dragon,2026-08,1,stall,"Limited to prevent Battle Phase locks enabled by multiple copies of itself alive at the same time; issue exacerbated by the burn effect",stated,,
72043279,Supreme King's Castle,2026-08,1,synergy,"Hit to Evil HERO builds",stated,,
42671151,The Golden Apples,2026-08,2,power,"Hit to generic Trap staples that act as battle tricks",stated,,
36247316,The Phantom Knights of Lost Vambrace,2026-08,1,power,"Effectively stops 1 Battle Phase, can disrupt Level-based strategies and can even act as an offensive tool since it debuffs ATK; synergizes well with Paleozoics and grants easy access to Rank-2",stated,,
51606429,The Phantom Knights of Tomb Shield,2026-08,0,power,"Very widespread counter to Trap staples, and potentially game-ending; difficult to remove since its main utility is live while the card is in the GY",stated,,
48179391,The Seal of Orichalcos,2026-08,0,stall,"Hard to remove battle lock",stated,,
4206964,Trap Hole,2026-08,1,power,"Widespread Trap staple and removal tool that can stop many strategies before they even begin to build field presence",stated,,
68836428,Tri-Edge Levia,2026-08,1,power,"As of this date, the only Spell Speed 2 negation in Retro; allowed only due its low accessibility",stated,,
69529337,Triamid Dancer,2026-08,2,preemptive,"Introduced as Limited for Triamid strategies",stated,,loosened from 1
1644289,Vylon Segment,2026-08,0,synergy,"Made Vylon Epsilon a nigh-unbeatable tower; easily accessible and recursable in Vylon as a whole",stated,,
13839120,Yellow Gadget,2026-08,1,engine,"Hit to the Gadget Trio to limit their recursive advantage generation as an engine",stated,,
130000023,Yggdrasil's Blessing,2026-08,2,recursion,"Hit to limit Trap recursion",stated,,
72378329,Beast-Eyes Pendulum Dragon,2026-09,1,preemptive,"Introduced to the format as Limited",stated,,
75132317,Brotherhood of the Fire Fist - Snake,2026-09,2,engine,"Semi-Limited to reduce the consistency of Fire Fist engine",stated,,
70329348,Fire Formation - Tenken,2026-09,2,engine,"Semi-Limited to reduce the consistency of Fire Fist engine",stated,
36499284,Fire Formation - Yoko,2026-09,2,engine,"Semi-Limited to reduce the consistency of Fire Fist engine",stated,
80280944,Giant Rex,2026-09,1,preemptive,"Introduced to the format as Limited",stated,,
49389190,"Ikelos, the Dream Mirror Sprite",2026-09,2,recursion,"Semi-Limited to reduce the top end of Dream Mirror's advantage spam",stated,
86778566,Impenetrable Attack,2026-09,1,power,"No longer needs to be at 3 since the main threat it was supposed to counter and alleviate (Sakuretsu Armor) is currently at 1",stated,,
57115864,Lumenize,2026-09,1,preemptive,"Introduced to the format as Limited",stated,,
53063039,Malefic Claw Stream,2026-09,1,preemptive,"Introduced to the format as Limited",stated,,
49389190,"Phantasos, the Dream Mirror Friend",2026-09,2,recursion,"Semi-Limited to reduce the top end of Dream Mirror's advantage spam",stated,
9553721,Shinobird Power Spot,2026-09,1,consistency,"Prevents Spirit from getting as much advantage as consistently",stated,,
130000232,Smiling Kappa,2026-09,1,stall,"Curbing this archetype's ability to stall somewhat",stated,,
94215860,Yaksha,2026-09,1,synergy,"Limited to reduce Spirit's top end and pace",stated,,
82841979,Yamato-no-Kami,2026-09,2,synergy,"Semi-Limited to reduce the aggressive potential of Spirit",stated,,
